GRAND PRIX,DATE,PTS
Australia,07 Mar 2004,3
Malaysia,21 Mar 2004,6
Bahrain,04 Apr 2004,10
San Marino,25 Apr 2004,8
Spain,09 May 2004,5
Monaco,23 May 2004,8
Europe,30 May 2004,6
Canada,13 Jun 2004,6
United States,20 Jun 2004,6
France,04 Jul 2004,4
Great Britain,11 Jul 2004,5
Germany,25 Jul 2004,9
Hungary,15 Aug 2004,7
Belgium,29 Aug 2004,0
Italy,12 Sep 2004,11
China,26 Sep 2004,11
Japan,10 Oct 2004,11
Brazil,24 Oct 2004,3
